dataset,series,x_name,x_value,y_name,y_value,units,n,projection_order,field_order,residual_target_count,small_argument_threshold,small_argument_terms,panel_quad_order,self_panel_quad_order,angular_samples,source_doi,h_over_L,kL,P,beta_deg,notes
amplitude_polar,h/L=0.00,phi_deg,147.041015625,differential_tscs_over_L_db,-15.32873891693099,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.12890625,differential_tscs_over_L_db,-15.28944814782248,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.216796875,differential_tscs_over_L_db,-15.25212076151358,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.3046875,differential_tscs_over_L_db,-15.21673570431205,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.392578125,differential_tscs_over_L_db,-15.18327180365951,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.48046875,differential_tscs_over_L_db,-15.15170781471279,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.568359375,differential_tscs_over_L_db,-15.12202246093224,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.65625,differential_tscs_over_L_db,-15.09419446927891,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.744140625,differential_tscs_over_L_db,-15.06820260056197,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.83203125,differential_tscs_over_L_db,-15.04402567542271,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,147.919921875,differential_tscs_over_L_db,-15.0216425963923,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.0078125,differential_tscs_over_L_db,-15.00103236641613,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.095703125,differential_tscs_over_L_db,-14.9821741041975,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.18359375,differential_tscs_over_L_db,-14.96504705667666,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.271484375,differential_tscs_over_L_db,-14.94963060892985,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.359375,differential_tscs_over_L_db,-14.93590429174267,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.447265625,differential_tscs_over_L_db,-14.92384778708634,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.53515625,differential_tscs_over_L_db,-14.91344093170132,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.623046875,differential_tscs_over_L_db,-14.90466371897197,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.7109375,differential_tscs_over_L_db,-14.89749629925591,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.798828125,differential_tscs_over_L_db,-14.89191897881531,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.88671875,differential_tscs_over_L_db,-14.88791221748112,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,148.974609375,differential_tscs_over_L_db,-14.88545662516772,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.0625,differential_tscs_over_L_db,-14.88453295734256,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.150390625,differential_tscs_over_L_db,-14.88512210954442,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.23828125,differential_tscs_over_L_db,-14.88720511103324,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.326171875,differential_tscs_over_L_db,-14.8907631176461,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.4140625,differential_tscs_over_L_db,-14.89577740392481,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.501953125,differential_tscs_over_L_db,-14.90222935457417,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.58984375,differential_tscs_over_L_db,-14.9101004553026,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.677734375,differential_tscs_over_L_db,-14.91937228309154,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.765625,differential_tscs_over_L_db,-14.93002649593418,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.853515625,differential_tscs_over_L_db,-14.94204482208021,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,149.94140625,differential_tscs_over_L_db,-14.95540904881816,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.029296875,differential_tscs_over_L_db,-14.97010101082408,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.1171875,differential_tscs_over_L_db,-14.98610257810144,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.205078125,differential_tscs_over_L_db,-15.00339564353474,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.29296875,differential_tscs_over_L_db,-15.02196211007654,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.380859375,differential_tscs_over_L_db,-15.04178387758591,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.46875,differential_tscs_over_L_db,-15.06284282933389,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.556640625,differential_tscs_over_L_db,-15.08512081819076,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.64453125,differential_tscs_over_L_db,-15.10859965250828,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.732421875,differential_tscs_over_L_db,-15.13326108170936,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.8203125,differential_tscs_over_L_db,-15.15908678159687,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.908203125,differential_tscs_over_L_db,-15.18605833939282,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,150.99609375,differential_tscs_over_L_db,-15.2141572385194,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.083984375,differential_tscs_over_L_db,-15.24336484313275,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.171875,differential_tscs_over_L_db,-15.27366238242147,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.259765625,differential_tscs_over_L_db,-15.30503093468168,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.34765625,differential_tscs_over_L_db,-15.33745141118181,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.435546875,differential_tscs_over_L_db,-15.37090453983091,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.5234375,differential_tscs_over_L_db,-15.40537084866568,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.611328125,differential_tscs_over_L_db,-15.44083064917306,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.69921875,differential_tscs_over_L_db,-15.47726401946644,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.787109375,differential_tscs_over_L_db,-15.51465078733602,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.875,differential_tscs_over_L_db,-15.5529705131957,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,151.962890625,differential_tscs_over_L_db,-15.59220247295138,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.05078125,differential_tscs_over_L_db,-15.63232564081825,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.138671875,differential_tscs_over_L_db,-15.67331867211744,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.2265625,differential_tscs_over_L_db,-15.71515988608569,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.314453125,differential_tscs_over_L_db,-15.75782724873481,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.40234375,differential_tscs_over_L_db,-15.80129835580197,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.490234375,differential_tscs_over_L_db,-15.84555041583458,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.578125,differential_tscs_over_L_db,-15.89056023345907,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.666015625,differential_tscs_over_L_db,-15.93630419288607,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.75390625,differential_tscs_over_L_db,-15.98275824170956,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.841796875,differential_tscs_over_L_db,-16.02989787506242,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,152.9296875,differential_tscs_over_L_db,-16.07769812019554,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.017578125,differential_tscs_over_L_db,-16.12613352155282,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.10546875,differential_tscs_over_L_db,-16.17517812642041,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.193359375,differential_tscs_over_L_db,-16.22480547123268,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.28125,differential_tscs_over_L_db,-16.27498856862421,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.369140625,differential_tscs_over_L_db,-16.32569989532242,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.45703125,differential_tscs_over_L_db,-16.37691138098057,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.544921875,differential_tscs_over_L_db,-16.42859439805732,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.6328125,differential_tscs_over_L_db,-16.48071975285408,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.720703125,differential_tscs_over_L_db,-16.53325767782692,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.80859375,differential_tscs_over_L_db,-16.58617782529527,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.896484375,differential_tscs_over_L_db,-16.63944926267439,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,153.984375,differential_tscs_over_L_db,-16.6930404693631,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.072265625,differential_tscs_over_L_db,-16.74691933542264,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.16015625,differential_tscs_over_L_db,-16.80105316218596,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.248046875,differential_tscs_over_L_db,-16.85540866493963,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.3359375,differential_tscs_over_L_db,-16.90995197782279,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.423828125,differential_tscs_over_L_db,-16.96464866108857,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.51171875,differential_tscs_over_L_db,-17.01946371087426,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.599609375,differential_tscs_over_L_db,-17.07436157162471,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.6875,differential_tscs_over_L_db,-17.12930615131186,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.775390625,differential_tscs_over_L_db,-17.18426083958977,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.86328125,differential_tscs_over_L_db,-17.23918852901884,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,154.951171875,differential_tscs_over_L_db,-17.29405163948667,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.0390625,differential_tscs_over_L_db,-17.34881214594424,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.126953125,differential_tscs_over_L_db,-17.40343160956547,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.21484375,differential_tscs_over_L_db,-17.45787121242592,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.302734375,differential_tscs_over_L_db,-17.51209179578203,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.390625,differential_tscs_over_L_db,-17.56605390201486,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.478515625,differential_tscs_over_L_db,-17.61971782028471,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.56640625,differential_tscs_over_L_db,-17.67304363592037,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.654296875,differential_tscs_over_L_db,-17.72599128354472,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.7421875,differential_tscs_over_L_db,-17.77852060391218,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.830078125,differential_tscs_over_L_db,-17.83059140440682,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,155.91796875,differential_tscs_over_L_db,-17.88216352311927,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.005859375,differential_tscs_over_L_db,-17.93319689639089,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.09375,differential_tscs_over_L_db,-17.98365162967985,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.181640625,differential_tscs_over_L_db,-18.03348807157,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.26953125,differential_tscs_over_L_db,-18.08266689070906,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.357421875,differential_tscs_over_L_db,-18.13114915542582,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.4453125,differential_tscs_over_L_db,-18.17889641574152,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.533203125,differential_tscs_over_L_db,-18.22587078745417,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.62109375,differential_tscs_over_L_db,-18.27203503793994,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.708984375,differential_tscs_over_L_db,-18.31735267328194,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.796875,differential_tscs_over_L_db,-18.36178802630522,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.884765625,differential_tscs_over_L_db,-18.40530634506625,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,156.97265625,differential_tscs_over_L_db,-18.44787388131972,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.060546875,differential_tscs_over_L_db,-18.48945797846072,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.1484375,differential_tscs_over_L_db,-18.53002715842203,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.236328125,differential_tscs_over_L_db,-18.5695512069905,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.32421875,differential_tscs_over_L_db,-18.60800125699703,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.412109375,differential_tscs_over_L_db,-18.64534986882938,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.5,differential_tscs_over_L_db,-18.68157110771845,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.587890625,differential_tscs_over_L_db,-18.71664061725457,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.67578125,differential_tscs_over_L_db,-18.7505356886048,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.763671875,differential_tscs_over_L_db,-18.78323532491947,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.8515625,differential_tscs_over_L_db,-18.81472030044286,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,157.939453125,differential_tscs_over_L_db,-18.8449732138734,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.02734375,differential_tscs_over_L_db,-18.8739785355559,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.115234375,differential_tscs_over_L_db,-18.90172264813089,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.203125,differential_tscs_over_L_db,-18.92819388031336,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.291015625,differential_tscs_over_L_db,-18.95338253352476,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.37890625,differential_tscs_over_L_db,-18.97728090115807,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.466796875,differential_tscs_over_L_db,-18.99988328031384,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.5546875,differential_tscs_over_L_db,-19.02118597590608,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.642578125,differential_tscs_over_L_db,-19.0411872970988,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.73046875,differential_tscs_over_L_db,-19.05988754609728,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.818359375,differential_tscs_over_L_db,-19.07728899937958,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.90625,differential_tscs_over_L_db,-19.0933958815159,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,158.994140625,differential_tscs_over_L_db,-19.10821433178205,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.08203125,differential_tscs_over_L_db,-19.12175236382924,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.169921875,differential_tscs_over_L_db,-19.13401981872607,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.2578125,differential_tscs_over_L_db,-19.1450283117358,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.345703125,differential_tscs_over_L_db,-19.15479117323665,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.43359375,differential_tscs_over_L_db,-19.16332338423058,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.521484375,differential_tscs_over_L_db,-19.1706415069186,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.609375,differential_tscs_over_L_db,-19.17676361084762,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.697265625,differential_tscs_over_L_db,-19.18170919515408,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.78515625,differential_tscs_over_L_db,-19.18549910744421,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.873046875,differential_tscs_over_L_db,-19.18815545985841,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,159.9609375,differential_tscs_over_L_db,-19.18970154287048,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,160.048828125,differential_tscs_over_L_db,-19.1901617373679,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,160.13671875,differential_tscs_over_L_db,-19.18956142555121,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
amplitude_polar,h/L=0.00,phi_deg,160.224609375,differential_tscs_over_L_db,-19.18792690117643,dB,512,,,,,,,,4096,,0.00,20.0,5,90.0,absolute; not peak-normalized
